video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=wRG6xaLkALI&pp=ygUHRXZlcmVzdA%3D%3D,/channel/UCj9fD9faZE8t1gAcG8Td4UA,Dream Music,"Dream, Yung Gravy - Everest (Official Music Video)",1 mln. weergaven,5 maanden geleden,Tour tickets for this coming Fall: Towhoeverwantstohear.com Follow Dream: TikTok: @dreamwastakenwastaken Twitter: @Dream ...,2024-01-28 18:16:20.154246
/watch?v=k231mc7xF8k&pp=ygUHRXZlcmVzdA%3D%3D,/@Everestjb,Everest,Dhar Man Joe Bartolozzi Reaction 246,41K weergaven,6 dagen geleden,"Video created: 1/21/2024, 11:12:11 AM https://www.twitch.tv/joe_bartolozzi.",2024-01-28 18:16:20.156225
/watch?v=cs7PaqZZFcM&pp=ygUHRXZlcmVzdA%3D%3D,/@MrApple100,MrApple100,HILLARY STEP | FULL VIDEO | Everest 2023.,628K weergaven,6 maanden geleden,"The Hillary Step was a nearly vertical rock face with a height of around 12 metres (40 ft) located near the summit of Mount Everest, ...",2024-01-28 18:16:20.158168
/watch?v=rD_qaegOq1w&pp=ygUHRXZlcmVzdA%3D%3D,/@TerrorTwin,Terror Twin ,The People Who Give Everest a Bad Name,90K weergaven,4 maanden geleden,Nils Antenzana opened his eyes on May 18th 2004 in his small tent at 8000 meters on Mount Everest's camp 4. His breathing was ...,2024-01-28 18:16:20.163953
/watch?v=79Q2rrQlPW4&pp=ygUHRXZlcmVzdA%3D%3D,/@universalpicturesuk,Universal Pictures UK,Everest - Official Movie Trailer (Universal Pictures),10 mln. weergaven,8 jaar geleden,"Inspired by the incredible events surrounding an attempt to reach the summit of the world's highest mountain, Everest documents ...",2024-01-28 18:16:20.166079
/watch?v=fQitQLUfiow&pp=ygUHRXZlcmVzdA%3D%3D,/@echoes7054,Echoes,Top 6 Worst Deaths on Everest in Human History,817K weergaven,2 maanden geleden,"The video was made only for educational purposes, viewer discretion is advised. The most infamous disasters at Mountain ...",2024-01-28 18:16:20.168115
/watch?v=So3vH9FY2H4&pp=ygUHRXZlcmVzdA%3D%3D,/@DavidSnowClimbing,David Snow,The 1996 Disaster · STORM OVER EVEREST · PBS Documentary,"4,2 mln. weergaven",2 jaar geleden,"May 11th 1996, a fast moving storm trapped three climbing teams high atop Mt Everest. The exhausted climbers were soon lost in ...",2024-01-28 18:16:20.178307
/watch?v=kwrYDTHKxiE&pp=ygUHRXZlcmVzdA%3D%3D,/channel/UChEJTRbiCUULBRZuD9_77EA,Labrinth,Labrinth - Mount Everest (Official Audio),82 mln. weergaven,4 jaar geleden,"Mount Everest ain't got shit on me Mount Everest ain't got shit on me 'Cause I'm on top of the world I'm on top of the world, yeah ...",2024-01-28 18:16:20.184968
/watch?v=zeygQ9s3Nd8&pp=ygUHRXZlcmVzdA%3D%3D,/@TypeLoFi,TypeLoFi,Roblox || Mount Everest Roleplay w/ CHAT!!!,101 weergaven,Gestreamd: 1 dag geleden,Our first of many fashionable conquer over on Roblox! Join your boy as we conquer all of the Roblox OBBYs! ➡️Numbers ...,2024-01-28 18:16:20.196614
/shorts/qMW2rL7CuSE,/channel/UCGt7X90Au6BV8rf49BiM6Dg,Ray William Johnson,Why do people climb Mt Everest?,"5,4 mln. weergaven",6 maanden geleden,Why do people climb Mt Everest? #climbing #climb #mteverest #everest #raywilliamjohnson #reaction #react.,2024-01-28 18:16:20.199436
/watch?v=i_RzNhxi-s8&pp=ygUHRXZlcmVzdA%3D%3D,/@DavidSnowClimbing,David Snow,Miracle on Everest · The Lincoln Hall Story,764K weergaven,2 jaar geleden,"Pronounced Dead to his Family and Friends near the summit of Mount Everest, the legendary story of Australian climber Lincoln ...",2024-01-28 18:16:20.202069
/watch?v=5ZQVpPiOji0&pp=ygUHRXZlcmVzdA%3D%3D,/@UniversalPictures,Universal Pictures,Everest - Official Trailer (HD),"7,1 mln. weergaven",8 jaar geleden,"Inspired by the incredible events surrounding an attempt to reach the summit of the world's highest mountain, Everest documents ...",2024-01-28 18:16:20.211271
/shorts/7VYXHiLAIK4,/@Vsauce,Vsauce,Let's Cut Mount Everest In Half,"8,5 mln. weergaven",11 maanden geleden,let's cut Mt. Everest in half #Qomolangma #Chomolungma #ཇོ་མོ་གླང་མ #everest #GeorgeEverest #earth #geology #flat ...,2024-01-28 18:16:20.214917
/watch?v=yN2ep_tnztU&pp=ygUHRXZlcmVzdA%3D%3D,/@BeyondDocumentary,Beyond Documentary,Dying For Everest | Full Documentary | Beyond Documentary,"1,1 mln. weergaven",1 jaar geleden,On 15 May 2006 double amputee Mark Ingliss reached the summit and left in a controversy involving the death of an ...,2024-01-28 18:16:20.225070
/watch?v=oD0XJHn4HyQ&pp=ygUHRXZlcmVzdA%3D%3D,/channel/UCj9fD9faZE8t1gAcG8Td4UA,Dream Music,Dream - Everest (feat. Yung Gravy) (Lyric Video),843K weergaven,6 maanden geleden,"Watch the lyric video for ""Everest (feat. Yung Gravy)"" by Dream. Stream/download ""Everest (feat. Yung Gravy)"": ...",2024-01-28 18:16:20.228009
/watch?v=dOHS-mxn0RQ&pp=ygUHRXZlcmVzdA%3D%3D,/@RottenTomatoesTRAILERS,Rotten Tomatoes Trailers,"Everest Official Trailer #1 (2015) - Jason Clarke, Jake Gyllenhaal Adventure Movie HD","5,1 mln. weergaven",8 jaar geleden,A climbing expedition on Mt. Everest is devastated by a severe snow storm. The Movieclips Trailers channel is your destination for ...,2024-01-28 18:16:20.232626
/watch?v=Bchx0mS7XOY&pp=ygUHRXZlcmVzdA%3D%3D,/@LastWeekTonight,LastWeekTonight,Everest: Last Week Tonight with John Oliver (HBO),11 mln. weergaven,4 jaar geleden,Climbing Mount Everest has become dangerously popular. John Oliver explains why. Connect with Last Week Tonight online.,2024-01-28 18:16:20.241808
/watch?v=xXONBhbt2nQ&pp=ygUHRXZlcmVzdA%3D%3D,/@Everestjb,Everest,Mr Beast Joe Bartolozzi Reaction 249,"9,3K weergaven",16 uur geleden,Video created: 1/27/2024 https://www.twitch.tv/joe_bartolozzi.,2024-01-28 18:16:31.664882
/watch?v=jqc5880MNIM&pp=ygUHRXZlcmVzdA%3D%3D,/@Everestjb,Everest,Suck Up ep 2 Joe Bartolozzi,"2,9K weergaven",13 uur geleden,Video created: 1/27/2024 https://www.twitch.tv/joe_bartolozzi.,2024-01-28 18:16:31.667274
/watch?v=Fx8ZPoIdCXA&pp=ygUHRXZlcmVzdA%3D%3D,/@beautifulworld_docs,Beautiful World,The Biggest Climber Disaster | Mount Everest | Documentary | Mountaineering,200K weergaven,9 maanden geleden,"The Biggest Climber Disaster - Jim Geiger, a 68-year-old man from Sacramento, Calif., attempts to become the oldest living ...",2024-01-28 18:16:31.677876
/watch?v=lCO6NSyLjhs&pp=ygUHRXZlcmVzdA%3D%3D,/@RottenTomatoesFAMILY,Rotten Tomatoes Family,Abominable - Saving Everest | Fandango Family,272K weergaven,2 jaar geleden,"FILM DESCRIPTION: After discovering a Yeti on the roof of her apartment building, teenage Yi and her two friends embark on an ...",2024-01-28 18:16:31.681523
/watch?v=F1wjWAJ9ZU4&pp=ygUHRXZlcmVzdA%3D%3D,/@livingattractions,Living Attractions,The Mount Everest (Documentary),405K weergaven,3 jaar geleden,"A BBC documentary on the Mount Everest. Every year, over a thousand climbers try to reach the summit of Mount Everest, with the ...",2024-01-28 18:16:31.684429
